tid,volume,50,100,200,500,1500,3000,5000,10000,20000,0
14227998,17459.899380000003,False,False,False,False,False,False,False,False,True,False
14227999,1415.6719956871814,False,False,False,False,True,False,False,False,False,False
14228000,392.5309706275392,False,False,False,True,False,False,False,False,False,False
14228001,1472.96309,False,False,False,False,True,False,False,False,False,False
14228002,556.6629,False,False,False,False,True,False,False,False,False,False
14228005,98.55160000000001,False,True,False,False,False,False,False,False,False,False
14228009,39.88306359,True,False,False,False,False,False,False,False,False,False
14228010,179.332062,False,False,True,False,False,False,False,False,False,False
14228011,428.98631676331195,False,False,False,True,False,False,False,False,False,False
14228012,801.46057712,False,False,False,False,True,False,False,False,False,False
14228014,256.66446,False,False,False,True,False,False,False,False,False,False
14228018,1.0018847279999998,True,False,False,False,False,False,False,False,False,False
14228024,444.9975992079299,False,False,False,True,False,False,False,False,False,False
14228025,1046.2228808317393,False,False,False,False,True,False,False,False,False,False
14228026,1949.0562931635197,False,False,False,False,False,True,False,False,False,False
14228027,918.6571339683358,False,False,False,False,True,False,False,False,False,False
14228028,1068.940217598224,False,False,False,False,True,False,False,False,False,False
14228029,1023.43968293769,False,False,False,False,True,False,False,False,False,False
14228030,1035.3041870852219,False,False,False,False,True,False,False,False,False,False
14228031,313.75499227628,False,False,False,True,False,False,False,False,False,False
14228043,524.889014174,False,False,False,False,True,False,False,False,False,False
14228044,305.730634746,False,False,False,True,False,False,False,False,False,False
14228045,19830.14,False,False,False,False,False,False,False,False,True,False
14228046,88.0279426430499,False,True,False,False,False,False,False,False,False,False
14228057,584.985000000059,False,False,False,False,True,False,False,False,False,False
14228058,2136.486183,False,False,False,False,False,True,False,False,False,False
14228073,102.14732280000001,False,False,True,False,False,False,False,False,False,False
14228076,1780.566908076,False,False,False,False,False,True,False,False,False,False
14228079,1.000790838,True,False,False,False,False,False,False,False,False,False
14228080,1779.274248297,False,False,False,False,False,True,False,False,False,False
14228083,900.2776155300907,False,False,False,False,True,False,False,False,False,False
14228084,2.543746560000256,True,False,False,False,False,False,False,False,False,False
14228086,1232.127240000124,False,False,False,False,True,False,False,False,False,False
14228087,12260.511635001001,False,False,False,False,False,False,False,False,True,False
14228088,5337.047574999,False,False,False,False,False,False,False,True,False,False
14228089,443.8074822067095,False,False,False,True,False,False,False,False,False,False
14228091,198.67040002002,False,False,True,False,False,False,False,False,False,False
14228092,1570.5640135581073,False,False,False,False,False,True,False,False,False,False
