tid,volume,50,100,200,500,1500,3000,5000,10000,20000,0
14227917,49.99903716256816,True,False,False,False,False,False,False,False,False,False
14227918,11.24942536782,True,False,False,False,False,False,False,False,False,False
14227919,6.7299925720000005,True,False,False,False,False,False,False,False,False,False
14227920,215.37955639980004,False,False,False,True,False,False,False,False,False,False
14227921,49.999137700210326,True,False,False,False,False,False,False,False,False,False
14227922,6.589983554245952,True,False,False,False,False,False,False,False,False,False
14227923,99.9993289762214,False,True,False,False,False,False,False,False,False,False
14227924,699.941424399072,False,False,False,False,True,False,False,False,False,False
14227925,671.2378163251446,False,False,False,False,True,False,False,False,False,False
14227926,320.768931524454,False,False,False,True,False,False,False,False,False,False
14227927,664.3100835659948,False,False,False,False,True,False,False,False,False,False
14227928,699.9568502464139,False,False,False,False,True,False,False,False,False,False
14227929,805.8923207940527,False,False,False,False,True,False,False,False,False,False
14227930,349.48431706408564,False,False,False,True,False,False,False,False,False,False
14227931,4950.22106,False,False,False,False,False,False,True,False,False,False
14227932,789.0736904028404,False,False,False,False,True,False,False,False,False,False
14227933,1155.5021282301805,False,False,False,False,True,False,False,False,False,False
14227934,1470.4371543059551,False,False,False,False,True,False,False,False,False,False
14227935,1454.609135020037,False,False,False,False,True,False,False,False,False,False
14227936,1409.0780818950514,False,False,False,False,True,False,False,False,False,False
14227937,1120.005795898205,False,False,False,False,True,False,False,False,False,False
14227938,1108.13084613663,False,False,False,False,True,False,False,False,False,False
14227939,24320.355776433935,False,False,False,False,False,False,False,False,False,True
14227940,8010.993709711906,False,False,False,False,False,False,False,True,False,False
14227941,49.99928619551509,True,False,False,False,False,False,False,False,False,False
14227942,199.9995366320049,False,False,True,False,False,False,False,False,False,False
14227943,9.999683663798248,True,False,False,False,False,False,False,False,False,False
14227962,499.99991726959996,False,False,False,True,False,False,False,False,False,False
14227966,299.99947786379727,False,False,False,True,False,False,False,False,False,False
14227983,18.749668567799247,True,False,False,False,False,False,False,False,False,False
14227987,37.49988096855088,True,False,False,False,False,False,False,False,False,False
14227988,99.99921751235685,False,True,False,False,False,False,False,False,False,False
14227993,49.99974738876001,True,False,False,False,False,False,False,False,False,False
14227994,44.99921586750063,True,False,False,False,False,False,False,False,False,False
14227996,14.999619674816817,True,False,False,False,False,False,False,False,False,False
